"perceiver.id" "target.id" "liking_a" "liking_b" "metaliking_a" "metaliking_b"
"1" 1 1 NA NA NA NA
"2" 2 1 4 5 3 2
"3" 3 1 4 4 4 4
"4" 4 1 3 3 3 3
"5" 5 1 5 5 3 3
"6" 6 1 3 4 4 3
"7" 7 1 5 4 3 3
"8" 8 1 4 3 3 3
"9" 9 1 3 4 3 3
"10" 10 1 3 3 2 2
"11" 11 1 3 3 3 3
"12" 12 1 3 3 3 3
"13" 13 1 3 3 3 3
"14" 14 1 5 4 3 3
"15" 15 1 4 3 3 3
"16" 16 1 3 2 2 1
"17" 17 1 4 3 3 2
"18" 18 1 4 3 4 4
"19" 19 1 5 3 2 2
"20" 20 1 4 4 4 3
"21" 21 1 3 3 3 2
"22" 22 1 4 3 3 2
"23" 23 1 4 4 3 3
"24" 24 1 3 2 2 2
"25" 25 1 2 2 2 2
"26" 26 1 3 2 2 2
"27" 27 1 2 2 2 2
"28" 28 1 3 4 2 2
"29" 29 1 3 3 3 2
"30" 30 1 3 3 2 3
"31" 31 1 4 4 3 4
"32" 32 1 3 2 3 3
"33" 33 1 3 3 3 2
"34" 34 1 4 4 4 4
"35" 35 1 3 2 3 3
"36" 36 1 1 1 2 1
"37" 37 1 1 1 1 1
"38" 38 1 4 4 4 3
"39" 39 1 4 3 3 3
"40" 40 1 3 3 3 3
"41" 41 1 3 3 3 3
"42" 42 1 2 2 2 2
"43" 43 1 4 4 4 4
"44" 44 1 3 1 2 2
"45" 45 1 3 3 2 2
"46" 46 1 4 3 2 2
"47" 47 1 4 4 3 3
"48" 48 1 3 3 3 3
"49" 49 1 4 3 3 3
"50" 50 1 4 4 2 3
"51" 51 1 3 3 3 3
"52" 52 1 5 5 3 3
"53" 53 1 5 4 2 2
"54" 54 1 4 3 2 2
"55" 1 2 3 2 3 3
"56" 2 2 NA NA NA NA
"57" 3 2 3 3 4 4
"58" 4 2 3 2 2 3
"59" 5 2 4 1 2 2
"60" 6 2 3 3 3 3
"61" 7 2 3 3 2 3
"62" 8 2 3 3 3 3
"63" 9 2 2 1 2 2
"64" 10 2 3 3 3 3
"65" 11 2 1 1 2 2
"66" 12 2 2 2 3 2
"67" 13 2 2 2 3 3
"68" 14 2 3 2 2 2
"69" 15 2 3 2 2 1
"70" 16 2 2 1 2 1
"71" 17 2 2 2 2 2
"72" 18 2 3 2 3 2
"73" 19 2 2 1 2 2
"74" 20 2 3 3 4 3
"75" 21 2 3 3 4 4
"76" 22 2 3 2 2 2
"77" 23 2 2 2 4 5
"78" 24 2 2 1 3 3
"79" 25 2 1 1 2 1
"80" 26 2 1 1 1 0
"81" 27 2 3 2 2 2
"82" 28 2 2 1 2 2
"83" 29 2 1 1 2 2
"84" 30 2 2 2 3 3
"85" 31 2 3 3 2 2
"86" 32 2 2 1 3 2
"87" 33 2 2 2 3 2
"88" 34 2 3 3 3 3
"89" 35 2 2 2 2 3
"90" 36 2 0 0 0 0
"91" 37 2 1 1 1 1
"92" 38 2 2 1 2 1
"93" 39 2 2 1 1 2
"94" 40 2 2 2 2 2
"95" 41 2 3 3 3 3
"96" 42 2 1 0 2 1
"97" 43 2 4 4 4 4
"98" 44 2 1 1 1 1
"99" 45 2 2 2 2 2
"100" 46 2 3 2 2 2
"101" 47 2 3 2 3 2
"102" 48 2 1 1 3 2
"103" 49 2 2 1 2 2
"104" 50 2 2 2 2 1
"105" 51 2 3 2 3 2
"106" 52 2 3 2 3 2
"107" 53 2 3 3 2 1
"108" 54 2 3 2 2 1
"109" 1 3 3 3 3 3
"110" 2 3 3 3 1 1
"111" 3 3 NA NA NA NA
"112" 4 3 3 3 2 2
"113" 5 3 4 3 2 2
"114" 6 3 4 5 4 3
