"perceiver.id" "target.id" "group.id" "ex" "ne"
"1" "90201" "90201" "2" 6 5
"2" "90201" "90202" "2" 5 4
"3" "90201" "90203" "2" 4 5
"4" "90201" "90204" "2" 4 4
"5" "90201" "90205" "2" 5 6
"6" "90201" "90206" "2" 4 3
"7" "90201" "90207" "2" 3 3
"8" "90201" "90208" "2" 5 2
"9" "90201" "90209" "2" 6 4
"10" "90201" "90210" "2" 4 3
"11" "90201" "90211" "2" 5 5
"12" "90201" "90212" "2" 3 3
"13" "90201" "90213" "2" 2 6
"14" "90201" "90214" "2" 4 3
"15" "90201" "90215" "2" 5 6
"16" "90201" "90216" "2" 2 5
"17" "90201" "90217" "2" 4 4
"18" "90201" "90218" "2" 3 3
"19" "90201" "90219" "2" 3 3
"20" "90201" "90220" "2" 6 2
"21" "90201" "90221" "2" 3 4
"22" "90201" "90222" "2" 3 3
"23" "90201" "90223" "2" 2 5
"24" "90201" "90224" "2" 3 5
"25" "90201" "90225" "2" 3 3
"26" "90203" "90201" "2" 6 4
"27" "90203" "90202" "2" 4 1
"28" "90203" "90203" "2" 6 2
"29" "90203" "90205" "2" 3 3
"30" "90203" "90206" "2" 4 3
"31" "90203" "90207" "2" 3 1
"32" "90203" "90208" "2" 5 2
"33" "90203" "90209" "2" 7 4
"34" "90203" "90210" "2" 6 4
"35" "90203" "90211" "2" 6 3
"36" "90203" "90212" "2" 6 5
"37" "90203" "90213" "2" 5 4
"38" "90203" "90214" "2" 3 3
"39" "90203" "90215" "2" 7 5
"40" "90203" "90216" "2" 3 3
"41" "90203" "90217" "2" 5 1
"42" "90203" "90218" "2" 5 1
"43" "90203" "90219" "2" 3 5
"44" "90203" "90220" "2" 5 2
"45" "90203" "90221" "2" 7 1
"46" "90203" "90222" "2" 3 4
"47" "90203" "90223" "2" 6 4
"48" "90203" "90224" "2" 7 3
"49" "90203" "90225" "2" 6 2
"50" "90205" "90201" "2" 6 1
"51" "90205" "90202" "2" 5 1
"52" "90205" "90203" "2" 4 4
"53" "90205" "90205" "2" 5 4
"54" "90205" "90206" "2" 6 2
"55" "90205" "90207" "2" 1 4
"56" "90205" "90208" "2" 3 3
"57" "90205" "90209" "2" 7 3
"58" "90205" "90210" "2" 5 2
"59" "90205" "90211" "2" 6 4
"60" "90205" "90212" "2" 4 4
"61" "90205" "90213" "2" 3 5
"62" "90205" "90214" "2" 4 3
"63" "90205" "90215" "2" 7 6
"64" "90205" "90216" "2" 1 5
"65" "90205" "90217" "2" 4 3
"66" "90205" "90218" "2" 2 5
"67" "90205" "90219" "2" 3 4
"68" "90205" "90220" "2" 4 4
"69" "90205" "90221" "2" 5 3
"70" "90205" "90222" "2" 3 4
"71" "90205" "90223" "2" 5 3
"72" "90205" "90224" "2" 6 2
"73" "90205" "90225" "2" 4 3
"74" "90206" "90201" "2" 4 7
"75" "90206" "90202" "2" 4 1
"76" "90206" "90203" "2" 1 4
"77" "90206" "90205" "2" 4 4
"78" "90206" "90206" "2" 5 3
"79" "90206" "90207" "2" 1 3
"80" "90206" "90208" "2" 1 3
"81" "90206" "90209" "2" 7 6
"82" "90206" "90210" "2" 5 5
"83" "90206" "90211" "2" 5 5
"84" "90206" "90212" "2" 5 5
"85" "90206" "90213" "2" 1 5
"86" "90206" "90214" "2" 4 5
"87" "90206" "90215" "2" 7 6
"88" "90206" "90216" "2" 3 5
"89" "90206" "90217" "2" 2 5
"90" "90206" "90218" "2" 2 5
"91" "90206" "90219" "2" 1 5
"92" "90206" "90220" "2" 4 5
"93" "90206" "90221" "2" 4 2
"94" "90206" "90222" "2" 2 2
"95" "90206" "90223" "2" 5 3
"96" "90206" "90224" "2" 6 6
"97" "90206" "90225" "2" 4 5
"98" "90207" "90201" "2" 5 3
"99" "90207" "90202" "2" 3 3
"100" "90207" "90203" "2" 4 5
"101" "90207" "90205" "2" 5 3
"102" "90207" "90206" "2" 6 3
"103" "90207" "90207" "2" 3 5
"104" "90207" "90208" "2" 4 3
"105" "90207" "90209" "2" 6 3
"106" "90207" "90210" "2" 5 3
"107" "90207" "90211" "2" 3 4
"108" "90207" "90212" "2" 3 3
"109" "90207" "90213" "2" 4 3
"110" "90207" "90214" "2" 5 4
"111" "90207" "90215" "2" 6 3
"112" "90207" "90216" "2" 2 5
"113" "90207" "90217" "2" 3 4
"114" "90207" "90218" "2" 3 5
"115" "90207" "90219" "2" 2 3
"116" "90207" "90220" "2" 5 2
"117" "90207" "90221" "2" 4 5
"118" "90207" "90222" "2" 4 4
"119" "90207" "90223" "2" 5 3
"120" "90207" "90224" "2" 6 3
"121" "90207" "90225" "2" 5 5
"122" "90209" "90201" "2" 6 4
"123" "90209" "90202" "2" 3 1
"124" "90209" "90203" "2" 2 4
"125" "90209" "90204" "2" 2 4
"126" "90209" "90205" "2" 4 4
"127" "90209" "90206" "2" 4 2
"128" "90209" "90207" "2" 1 4
"129" "90209" "90208" "2" 1 4
"130" "90209" "90209" "2" 7 2
"131" "90209" "90210" "2" 5 2
"132" "90209" "90211" "2" 4 4
"133" "90209" "90212" "2" 5 3
"134" "90209" "90213" "2" 5 3
"135" "90209" "90214" "2" 5 3
"136" "90209" "90215" "2" 6 5
"137" "90209" "90216" "2" 5 4
"138" "90209" "90217" "2" 2 4
"139" "90209" "90218" "2" 2 5
"140" "90209" "90219" "2" 2 2
"141" "90209" "90220" "2" 3 2
"142" "90209" "90221" "2" 3 2
"143" "90209" "90222" "2" 1 1
"144" "90209" "90223" "2" 5 1
"145" "90209" "90224" "2" 7 2
"146" "90209" "90225" "2" 5 2
