"perceiver.id" "target.id" "liking_a" "liking_b" "metaliking_a" "metaliking_b" "group.id"
"1" 1 1 NA NA NA NA 1
"2" 2 1 4 5 3 2 1
"3" 3 1 4 4 4 4 1
"4" 4 1 3 3 3 3 1
"5" 5 1 5 5 3 3 1
"6" 6 1 3 4 4 3 1
"7" 7 1 5 4 3 3 1
"8" 8 1 4 3 3 3 1
"9" 9 1 3 4 3 3 1
"10" 10 1 3 3 2 2 1
"55" 1 2 3 2 3 3 1
"56" 2 2 NA NA NA NA 1
"57" 3 2 3 3 4 4 1
"58" 4 2 3 2 2 3 1
"59" 5 2 4 1 2 2 1
"60" 6 2 3 3 3 3 1
"61" 7 2 3 3 2 3 1
"62" 8 2 3 3 3 3 1
"63" 9 2 2 1 2 2 1
"64" 10 2 3 3 3 3 1
"109" 1 3 3 3 3 3 1
"110" 2 3 3 3 1 1 1
"111" 3 3 NA NA NA NA 1
"112" 4 3 3 3 2 2 1
"113" 5 3 4 3 2 2 1
"114" 6 3 4 5 4 3 1
"115" 7 3 4 3 3 3 1
"116" 8 3 4 4 3 3 1
"117" 9 3 4 4 4 3 1
"118" 10 3 3 2 2 2 1
"163" 1 4 2 2 3 2 1
"164" 2 4 4 4 2 2 1
"165" 3 4 3 2 3 2 1
"166" 4 4 NA NA NA NA 1
"167" 5 4 4 4 3 3 1
"168" 6 4 3 4 2 2 1
"169" 7 4 3 2 1 1 1
"170" 8 4 4 4 3 3 1
"171" 9 4 4 4 4 3 1
"172" 10 4 3 2 2 1 1
"217" 1 5 2 2 2 3 1
"218" 2 5 3 3 1 2 1
"219" 3 5 3 2 3 2 1
"220" 4 5 4 4 4 4 1
"221" 5 5 NA NA NA NA 1
"222" 6 5 4 4 3 3 1
"223" 7 5 4 1 3 3 1
"224" 8 5 4 4 3 3 1
"225" 9 5 2 2 4 3 1
"226" 10 5 3 2 3 3 1
"271" 1 6 4 4 3 3 1
"272" 2 6 4 4 1 1 1
"273" 3 6 3 3 3 3 1
"274" 4 6 2 2 2 2 1
"275" 5 6 4 4 2 2 1
"276" 6 6 NA NA NA NA 1
"277" 7 6 5 5 5 5 1
"278" 8 6 5 5 4 4 1
"279" 9 6 4 4 4 3 1
"280" 10 6 4 4 3 3 1
"325" 1 7 3 3 4 2 1
"326" 2 7 3 2 2 2 1
"327" 3 7 4 3 2 2 1
"328" 4 7 1 2 2 2 1
"329" 5 7 3 2 1 1 1
"330" 6 7 5 5 4 3 1
"331" 7 7 NA NA NA NA 1
"332" 8 7 5 5 4 4 1
"333" 9 7 4 4 4 3 1
"334" 10 7 4 3 2 2 1
"379" 1 8 3 3 2 3 1
"380" 2 8 2 2 2 2 1
"381" 3 8 3 2 2 2 1
"382" 4 8 2 2 3 2 1
"383" 5 8 2 1 1 1 1
"384" 6 8 5 5 4 3 1
"385" 7 8 5 5 4 4 1
"386" 8 8 NA NA NA NA 1
"387" 9 8 4 4 3 3 1
"388" 10 8 4 3 3 3 1
"433" 1 9 2 2 2 2 1
"434" 2 9 2 2 1 1 1
"435" 3 9 2 2 3 1 1
"436" 4 9 3 3 3 3 1
"437" 5 9 3 3 2 2 1
"438" 6 9 3 4 3 3 1
"439" 7 9 4 4 3 3 1
"440" 8 9 4 4 3 3 1
"441" 9 9 NA NA NA NA 1
"442" 10 9 2 2 2 1 1
"487" 1 10 3 2 2 3 1
"488" 2 10 3 4 2 2 1
"489" 3 10 3 3 3 3 1
"490" 4 10 2 2 2 2 1
"491" 5 10 3 3 2 2 1
"492" 6 10 4 4 3 4 1
"493" 7 10 3 3 2 2 1
"494" 8 10 5 5 3 3 1
"495" 9 10 2 3 2 2 1
"496" 10 10 NA NA NA NA 1
"551" 11 11 NA NA NA NA 2
"552" 12 11 5 4 4 3 2
"553" 13 11 4 3 4 3 2
"554" 14 11 3 3 3 2 2
"555" 15 11 3 4 2 2 2
"556" 16 11 4 4 4 4 2
"557" 17 11 4 3 3 2 2
"558" 18 11 3 2 1 2 2
"559" 19 11 2 2 2 2 2
"560" 20 11 4 4 4 3 2
"605" 11 12 4 3 2 2 2
"606" 12 12 NA NA NA NA 2
"607" 13 12 3 3 4 3 2
"608" 14 12 3 3 3 3 2
"609" 15 12 3 3 2 2 2
"610" 16 12 2 2 2 2 2
"611" 17 12 4 3 3 3 2
"612" 18 12 2 0 3 1 2
"613" 19 12 1 1 2 2 2
"614" 20 12 3 4 3 3 2
"659" 11 13 2 1 1 1 2
"660" 12 13 3 3 3 2 2
"661" 13 13 NA NA NA NA 2
"662" 14 13 4 4 3 2 2
"663" 15 13 3 2 2 1 2
"664" 16 13 2 2 2 2 2
"665" 17 13 4 4 3 2 2
"666" 18 13 4 5 3 3 2
"667" 19 13 2 2 2 2 2
"668" 20 13 4 4 3 3 2
"713" 11 14 3 3 2 2 2
"714" 12 14 5 4 4 3 2
"715" 13 14 5 4 5 5 2
"716" 14 14 NA NA NA NA 2
"717" 15 14 4 3 3 3 2
"718" 16 14 1 1 1 1 2
"719" 17 14 3 3 2 3 2
"720" 18 14 4 4 4 3 2
"721" 19 14 2 2 2 2 2
"722" 20 14 4 4 4 4 2
"767" 11 15 3 3 2 3 2
"768" 12 15 4 4 4 3 2
"769" 13 15 3 3 4 3 2
"770" 14 15 4 4 3 3 2
"771" 15 15 NA NA NA NA 2
"772" 16 15 4 4 4 4 2
"773" 17 15 3 4 3 3 2
"774" 18 15 3 2 2 3 2
"775" 19 15 2 2 2 2 2
"776" 20 15 4 4 4 3 2
"821" 11 16 3 2 2 3 2
"822" 12 16 3 3 4 3 2
"823" 13 16 5 4 4 4 2
"824" 14 16 5 5 4 4 2
"825" 15 16 4 4 4 4 2
"826" 16 16 NA NA NA NA 2
"827" 17 16 4 4 3 3 2
"828" 18 16 5 5 4 3 2
"829" 19 16 3 3 2 2 2
"830" 20 16 4 4 4 3 2
"875" 11 17 2 2 3 2 2
"876" 12 17 5 4 4 4 2
"877" 13 17 3 3 4 3 2
"878" 14 17 3 2 3 2 2
"879" 15 17 4 3 2 2 2
"880" 16 17 5 5 5 5 2
"881" 17 17 NA NA NA NA 2
"882" 18 17 3 2 2 4 2
"883" 19 17 2 2 2 2 2
"884" 20 17 4 4 4 3 2
"929" 11 18 4 3 3 3 2
"930" 12 18 4 3 3 3 2
"931" 13 18 3 3 4 3 2
"932" 14 18 3 3 2 2 2
"933" 15 18 3 2 2 2 2
"934" 16 18 5 5 5 5 2
"935" 17 18 4 4 3 3 2
"936" 18 18 NA NA NA NA 2
"937" 19 18 2 2 2 2 2
"938" 20 18 4 4 4 3 2
"983" 11 19 1 1 1 1 2
"984" 12 19 2 3 2 3 2
"985" 13 19 4 3 4 4 2
"986" 14 19 3 3 3 3 2
"987" 15 19 2 2 1 1 2
"988" 16 19 2 2 2 2 2
"989" 17 19 3 3 2 2 2
"990" 18 19 3 4 3 3 2
"991" 19 19 NA NA NA NA 2
"992" 20 19 4 4 3 3 2
"1037" 11 20 3 3 3 3 2
"1038" 12 20 4 4 4 3 2
"1039" 13 20 4 4 4 4 2
"1040" 14 20 5 4 4 3 2
"1041" 15 20 3 2 2 2 2
"1042" 16 20 3 4 4 4 2
"1043" 17 20 4 3 3 3 2
"1044" 18 20 5 5 4 4 2
"1045" 19 20 3 3 2 2 2
"1046" 20 20 NA NA NA NA 2
"1101" 21 21 NA NA NA NA 3
"1102" 22 21 4 3 4 3 3
"1103" 23 21 3 3 3 3 3
"1104" 24 21 4 4 3 2 3
"1105" 25 21 2 2 2 1 3
"1106" 26 21 2 2 3 3 3
"1107" 27 21 4 4 3 3 3
"1108" 28 21 3 2 2 2 3
"1109" 29 21 4 2 4 2 3
"1110" 30 21 3 3 2 2 3
"1155" 21 22 4 4 3 2 3
"1156" 22 22 NA NA NA NA 3
"1157" 23 22 4 3 2 1 3
"1158" 24 22 2 1 3 2 3
"1159" 25 22 3 3 3 2 3
"1160" 26 22 4 4 3 3 3
"1161" 27 22 3 2 2 1 3
"1162" 28 22 5 5 5 5 3
"1163" 29 22 4 3 3 3 3
"1164" 30 22 4 5 4 4 3
"1209" 21 23 3 3 3 3 3
"1210" 22 23 4 3 4 3 3
"1211" 23 23 NA NA NA NA 3
"1212" 24 23 3 3 3 2 3
