"id" "narc"
"90201" "90201" 7
"90205" "90205" 6
"90207" "90207" 3
"90209" "90209" 12
"90210" "90210" 8
"90212" "90212" 6
"90213" "90213" 3
"90214" "90214" 7
"90215" "90215" 8
"90216" "90216" 6
"90218" "90218" 4
"90219" "90219" 6
"90220" "90220" 6
"90222" "90222" 4
"90223" "90223" 7
"90224" "90224" 12
"90225" "90225" 9
"90501" "90501" 10
"90502" "90502" 9
"90503" "90503" 4
"90505" "90505" 8
"90506" "90506" 6
"90507" "90507" 9
"90508" "90508" 4
"90511" "90511" 9
"90512" "90512" 3
"90513" "90513" 4
"90514" "90514" 7
"90515" "90515" 10
"90516" "90516" 9
"90517" "90517" 10
"90518" "90518" 8
"90519" "90519" 4
"90520" "90520" 8
"90522" "90522" 8
"90523" "90523" 7
"90524" "90524" 6
"90525" "90525" 10
"90601" "90601" 7
"90602" "90602" 11
"90603" "90603" 9
"90604" "90604" 6
"90605" "90605" 10
"90609" "90609" 7
"90611" "90611" 5
"90612" "90612" 7
"90613" "90613" 5
"90615" "90615" 9
"90617" "90617" 6
"90619" "90619" 5
"90621" "90621" 4
"90622" "90622" 6
"90623" "90623" 8
"90801" "90801" 9
"90803" "90803" 5
"90804" "90804" 7
"90805" "90805" 5
"90806" "90806" 4
"90807" "90807" 8
"90808" "90808" 9
"90809" "90809" 4
"90813" "90813" 5
"90814" "90814" 5
"90815" "90815" 6
"90816" "90816" 8
"90817" "90817" 7
"90818" "90818" 8
"90819" "90819" 6
"90820" "90820" 9
"90821" "90821" 8
"90822" "90822" 9
"90823" "90823" 7
"90824" "90824" 9
"90825" "90825" 4
"90826" "90826" 10
"90827" "90827" 9
"90901" "90901" 5
"90902" "90902" 7
"90903" "90903" 9
"90904" "90904" 7
"90905" "90905" 7
"90906" "90906" 7
"90907" "90907" 4
"90908" "90908" 3
"90909" "90909" 6
"90910" "90910" 8
"90911" "90911" 7
"90912" "90912" 7
"90913" "90913" 10
"90914" "90914" 5
"90915" "90915" 7
"90916" "90916" 6
"90917" "90917" 6
"90920" "90920" 5
"90921" "90921" 8
"90922" "90922" 10
"90923" "90923" 11
"90924" "90924" 2
"90925" "90925" 6
"91201" "91201" 11
"91202" "91202" 3
"91203" "91203" 9
"91204" "91204" 9
"91205" "91205" 7
"91206" "91206" 10
"91207" "91207" 7
"91208" "91208" 4
"91209" "91209" 6
"91210" "91210" 10
"91211" "91211" 3
"91212" "91212" 8
"91215" "91215" 7
"91216" "91216" 6
"91217" "91217" 6
"91218" "91218" 8
"91219" "91219" 4
"91220" "91220" 9
"91221" "91221" 10
"91222" "91222" 5
"91223" "91223" 9
"91224" "91224" 7
"91225" "91225" 9
"91301" "91301" 9
"91302" "91302" 6
"91303" "91303" 5
"91304" "91304" 7
"91305" "91305" 6
"91306" "91306" 7
"91307" "91307" 9
"91308" "91308" 13
"91309" "91309" 9
"91310" "91310" 4
"91311" "91311" 10
"91312" "91312" 7
"91313" "91313" 6
"91314" "91314" 8
"91315" "91315" 6
"91316" "91316" 8
"91317" "91317" 5
"91318" "91318" 5
"91319" "91319" 4
"91320" "91320" 4
"91321" "91321" 8
"91322" "91322" 6
"91323" "91323" 4
"91324" "91324" 5
"91401" "91401" 2
"91402" "91402" 9
"91403" "91403" 6
"91411" "91411" 9
"91413" "91413" 7
"91414" "91414" 6
"91415" "91415" 9
"91416" "91416" 12
"91417" "91417" 7
"91418" "91418" 9
"91419" "91419" 4
"91420" "91420" 5
"91422" "91422" 10
"91423" "91423" 10
"91425" "91425" 12
"91801" "91801" 9
"91802" "91802" 5
"91803" "91803" 7
"91804" "91804" 6
"91805" "91805" 7
"91806" "91806" 11
"91812" "91812" 6
"91814" "91814" 9
"91815" "91815" 5
"91816" "91816" 4
"91817" "91817" 11
"91818" "91818" 7
"91819" "91819" 7
"91820" "91820" 7
"91822" "91822" 11
"91823" "91823" 5
"91824" "91824" 8
"92001" "92001" 9
"92004" "92004" 6
"92005" "92005" 6
"92006" "92006" 8
"92007" "92007" 6
"92008" "92008" 5
"92010" "92010" 6
"92012" "92012" 6
"92014" "92014" 7
"92015" "92015" 9
"92017" "92017" 5
"92018" "92018" 8
"92020" "92020" 8
"92021" "92021" 6
"92022" "92022" 8
"92024" "92024" 9
